time,x-acceleration,y-acceleration,z-acceleration,output
0,0.527,0.29,0.787,piano
0.02,0.533,0.295,0.794,piano
0.04,0.526,0.295,0.797,piano
0.06,0.52,0.294,0.801,piano
0.08,0.53,0.3,0.8,piano
0.1,0.537,0.304,0.79,piano
0.12,0.54,0.302,0.784,piano
0.14,0.541,0.301,0.786,piano
0.16,0.538,0.298,0.791,piano
0.18,0.533,0.287,0.798,piano
0.2,0.535,0.283,0.801,piano
0.22,0.535,0.279,0.802,piano
0.24,0.535,0.279,0.799,piano
0.26,0.531,0.273,0.8,piano
0.28,0.529,0.272,0.802,piano
0.3,0.539,0.273,0.804,piano
0.32,0.547,0.267,0.796,piano
0.34,0.558,0.266,0.792,piano
0.36,0.548,0.267,0.795,piano
0.38,0.551,0.264,0.797,piano
0.4,0.538,0.257,0.795,piano
0.42,0.548,0.251,0.796,piano
0.44,0.577,0.26,0.798,piano
0.46,0.595,0.272,0.813,piano
0.48,0.571,0.273,0.797,piano
0.5,0.575,0.26,0.779,piano
0.52,0.569,0.256,0.77,piano
0.54,0.548,0.253,0.768,piano
0.56,0.534,0.25,0.782,piano
0.58,0.534,0.249,0.797,piano
0.6,0.537,0.25,0.805,piano
0.62,0.526,0.25,0.799,piano
0.64,0.531,0.253,0.795,piano
0.66,0.542,0.264,0.792,piano
0.68,0.56,0.273,0.797,piano
0.7,0.571,0.279,0.792,piano
0.72,0.56,0.273,0.791,piano
0.74,0.546,0.268,0.795,piano
0.76,0.535,0.258,0.795,piano
0.78,0.536,0.248,0.797,piano
0.8,0.545,0.24,0.799,piano
0.82,0.557,0.247,0.799,piano
0.84,0.554,0.247,0.801,piano
0.86,0.547,0.244,0.801,piano
0.88,0.546,0.25,0.801,piano
0.9,0.549,0.26,0.792,piano
0.92,0.548,0.255,0.786,piano
0.94,0.556,0.249,0.801,piano
0.96,0.562,0.248,0.82,piano
0.98,0.552,0.247,0.818,piano
1,0.533,0.246,0.804,piano
1.02,0.526,0.239,0.799,piano
1.04,0.533,0.244,0.799,piano
1.06,0.53,0.241,0.802,piano
1.08,0.541,0.249,0.809,piano
1.1,0.56,0.256,0.807,piano
1.12,0.576,0.243,0.795,piano
1.14,0.543,0.246,0.809,piano
1.16,0.53,0.257,0.834,piano
1.18,0.561,0.265,0.812,piano
1.2,0.563,0.275,0.787,piano
1.22,0.583,0.279,0.782,piano
1.24,0.567,0.282,0.791,piano
1.26,0.534,0.276,0.815,piano
1.28,0.519,0.286,0.841,piano
1.3,0.528,0.285,0.838,piano
1.32,0.511,0.289,0.829,piano
1.34,0.497,0.276,0.829,piano
1.36,0.472,0.251,0.841,piano
1.38,0.464,0.227,0.847,piano
1.4,0.485,0.223,0.858,piano
1.42,0.492,0.225,0.868,piano
1.44,0.488,0.21,0.861,piano
1.46,0.487,0.199,0.852,piano
1.48,0.479,0.199,0.861,piano
1.5,0.465,0.194,0.869,piano
1.52,0.46,0.193,0.872,piano
1.54,0.446,0.185,0.857,piano
1.56,0.423,0.179,0.849,piano
1.58,0.401,0.168,0.852,piano
