time,x-acceleration,y-acceleration,z-acceleration,output
3.1,0.173,-0.306,-0.103,guitar
3.12,0.209,-0.258,-0.125,guitar
3.14,0.094,-0.278,-0.189,guitar
3.16,0.001,-0.29,-0.205,guitar
3.18,0.037,-0.224,-0.206,guitar
3.2,0.166,-0.131,-0.223,guitar
3.22,0.289,-0.058,-0.159,guitar
3.24,0.346,0.054,-0.056,guitar
3.26,0.776,0.119,0.098,guitar
3.28,1.511,0.137,-0.053,guitar
3.3,2,-0.088,-0.649,guitar
3.32,1.852,-0.947,-1.877,guitar
3.34,1.45,-0.6,-1.268,guitar
3.36,1.664,0.131,-0.03,guitar
3.38,-1.256,-0.216,0.039,guitar
3.4,-1.877,0.733,1.989,guitar
3.42,1.622,0.648,2,guitar
3.44,2,0.182,1.268,guitar
3.46,0.884,0.038,0.527,guitar
3.48,0.801,0.218,0.407,guitar
3.5,0.781,0.205,0.495,guitar
3.52,0.706,0.176,0.548,guitar
3.54,0.641,0.165,0.561,guitar
3.56,0.544,0.146,0.578,guitar
3.58,0.464,0.127,0.611,guitar
3.6,0.47,0.109,0.62,guitar
3.62,0.557,0.126,0.598,guitar
3.64,0.663,0.162,0.592,guitar
3.66,0.763,0.195,0.601,guitar
3.68,0.778,0.198,0.606,guitar
3.7,0.737,0.182,0.59,guitar
3.72,0.69,0.17,0.583,guitar
3.74,0.668,0.162,0.609,guitar
3.76,0.661,0.148,0.648,guitar
3.78,0.599,0.09,0.669,guitar
3.8,0.651,0.048,0.739,guitar
3.82,0.939,0.177,0.924,guitar
3.84,1.177,0.323,1.137,guitar
3.86,1.302,0.444,1.314,guitar
3.88,1.329,0.5,1.361,guitar
3.9,1.177,0.443,1.227,guitar
3.92,1.005,0.387,1.013,guitar
3.94,1.039,0.336,0.817,guitar
3.96,0.995,0.077,0.605,guitar
3.98,0.899,-0.148,0.399,guitar
4,0.772,-0.24,0.145,guitar
4.02,0.601,-0.261,-0.058,guitar
4.04,0.466,-0.292,-0.14,guitar
4.06,0.274,-0.328,-0.137,guitar
4.08,0.157,-0.315,-0.154,guitar
4.1,-0.072,-0.273,-0.207,guitar
4.12,-0.435,-0.308,-0.321,guitar
4.14,-0.604,-0.27,-0.295,guitar
4.16,-0.267,-0.059,-0.137,guitar
4.18,0.028,0.18,-0.052,guitar
4.2,0.311,0.361,-0.021,guitar
4.22,0.704,0.455,0.001,guitar
4.24,1.582,0.391,-0.13,guitar
4.26,2,0.157,-0.868,guitar
4.28,0.377,-0.308,-1.61,guitar
4.3,0.098,0.104,0.797,guitar
4.32,1.567,0.432,0.512,guitar
4.34,1.942,0.798,-0.753,guitar
4.36,1.845,-0.029,-1.234,guitar
4.38,0.373,0.734,0.387,guitar
4.4,1.469,0.866,1.894,guitar
4.42,0.606,0.202,0.912,guitar
4.44,0.234,0.264,0.694,guitar
4.46,-0.698,0.203,0.614,guitar
4.48,0.021,0.251,0.715,guitar
4.5,0.931,0.356,0.687,guitar
