time,x-acceleration,y-acceleration,z-acceleration,output
3.22,0.126,-0.223,1.307,piano
3.24,0.147,-0.21,1.4,piano
3.26,0.118,-0.211,1.397,piano
3.28,0.097,-0.25,1.297,piano
3.3,0.177,-0.201,1.181,piano
3.32,0.49,0.033,1.401,piano
3.34,0.44,0.068,1.564,piano
3.36,0.416,0.006,1.404,piano
3.38,0.383,-0.081,1.131,piano
3.4,0.316,-0.115,0.883,piano
3.42,0.217,-0.147,0.642,piano
3.44,0.137,-0.175,0.447,piano
3.46,0.049,-0.229,0.279,piano
3.48,-0.005,-0.28,0.15,piano
3.5,-0.015,-0.31,0.073,piano
3.52,0.012,-0.313,0.041,piano
3.54,0.012,-0.325,0.004,piano
3.56,0.029,-0.304,0.021,piano
3.58,0.08,-0.253,0.154,piano
3.6,0.116,-0.214,0.309,piano
3.62,0.142,-0.196,0.474,piano
3.64,0.09,-0.189,0.673,piano
3.66,0.161,-0.147,1.07,piano
3.68,0.149,-0.14,1.308,piano
3.7,0.017,-0.17,1.115,piano
3.72,0.413,0.069,1.834,piano
3.74,0.575,-0.101,2,piano
3.76,0.353,-0.276,1.917,piano
3.78,0.402,-0.203,1.433,piano
3.8,0.331,-0.065,1.085,piano
3.82,0.225,-0.065,0.824,piano
3.84,0.1,-0.07,0.649,piano
3.86,0.069,-0.052,0.626,piano
3.88,0.104,-0.033,0.683,piano
3.9,0.164,-0.012,0.765,piano
3.92,0.215,0.012,0.839,piano
3.94,0.25,0.005,0.891,piano
3.96,0.293,-0.012,0.963,piano
3.98,0.317,-0.047,1.018,piano
4,0.311,-0.087,1.022,piano
4.02,0.286,-0.111,1.009,piano
4.04,0.26,-0.14,0.984,piano
4.06,0.228,-0.148,0.996,piano
4.08,0.205,-0.149,1.038,piano
4.1,0.192,-0.131,1.089,piano
4.12,0.194,-0.128,1.151,piano
4.14,0.197,-0.157,1.173,piano
4.16,0.197,-0.216,1.158,piano
4.18,0.179,-0.237,1.214,piano
4.2,0.184,-0.193,1.355,piano
4.22,0.282,-0.196,1.382,piano
4.24,0.363,-0.137,1.336,piano
4.26,0.264,-0.07,1.221,piano
4.28,0.309,0.022,1.196,piano
4.3,0.565,0.118,1.29,piano
4.32,0.417,0.031,1.127,piano
4.34,0.305,-0.05,0.895,piano
4.36,0.197,-0.094,0.722,piano
4.38,0.142,-0.147,0.592,piano
4.4,0.102,-0.187,0.484,piano
4.42,0.041,-0.241,0.365,piano
4.44,-0.003,-0.298,0.28,piano
4.46,-0.008,-0.316,0.267,piano
4.48,-0.039,-0.335,0.27,piano
4.5,-0.048,-0.363,0.314,piano
4.52,-0.018,-0.325,0.406,piano
4.54,0.011,-0.3,0.447,piano
4.56,0.071,-0.27,0.487,piano
4.58,0.174,-0.211,0.601,piano
4.6,0.209,-0.186,0.714,piano
4.62,0.26,-0.126,0.829,piano
4.64,0.136,-0.013,0.826,piano
4.66,0.67,0.224,1.848,piano
4.68,0.433,0.161,2,piano
4.7,0.272,-0.292,1.93,piano
4.72,0.55,-0.22,1.461,piano
4.74,0.27,-0.166,0.951,piano
4.76,0.16,-0.175,0.697,piano
4.78,0.074,-0.109,0.633,piano
4.8,0.035,-0.089,0.66,piano
4.82,0.116,-0.068,0.763,piano
4.84,0.222,-0.028,0.866,piano
4.86,0.255,-0.001,0.94,piano
4.88,0.291,0.015,1.011,piano
4.9,0.311,-0.004,1.009,piano
4.92,0.292,-0.041,0.965,piano
4.94,0.274,-0.077,0.92,piano
4.96,0.268,-0.086,0.926,piano
4.98,0.269,-0.097,0.979,piano
5,0.274,-0.105,1.029,piano
5.02,0.257,-0.108,1.04,piano
5.04,0.214,-0.124,1.033,piano
5.06,0.165,-0.144,1.045,piano
5.08,0.15,-0.157,1.11,piano
5.1,0.158,-0.186,1.174,piano
5.12,0.148,-0.237,1.229,piano
5.14,0.147,-0.234,1.345,piano
5.16,0.102,-0.242,1.335,piano
5.18,0.097,-0.248,1.25,piano
5.2,0.262,-0.149,1.332,piano
5.22,0.317,-0.06,1.284,piano
5.24,0.288,0.007,1.051,piano
5.26,0.38,0.064,0.918,piano
5.28,0.457,0.13,0.966,piano
5.3,0.286,0.012,0.927,piano
5.32,0.223,-0.041,0.814,piano
5.34,0.177,-0.079,0.683,piano
5.36,0.148,-0.148,0.539,piano
5.38,0.127,-0.202,0.447,piano
5.4,0.101,-0.256,0.385,piano
5.42,0.082,-0.303,0.344,piano
5.44,0.065,-0.326,0.347,piano
5.46,0.045,-0.343,0.334,piano
5.48,0.057,-0.34,0.315,piano
5.5,0.065,-0.29,0.348,piano
5.52,-0.001,-0.259,0.418,piano
5.54,0.044,-0.2,0.669,piano
5.56,0.143,-0.112,0.846,piano
5.58,0.001,0.024,0.906,piano
5.6,0.576,0.356,2,piano
5.62,0.512,-0.237,2,piano
5.64,0.311,-0.457,1.657,piano
5.66,0.347,-0.3,0.91,piano
5.68,0.19,-0.251,0.441,piano
5.7,-0.042,-0.205,0.363,piano
5.72,-0.028,-0.075,0.603,piano
5.74,0.067,-0.012,0.87,piano
5.76,0.183,0.006,1.032,piano
5.78,0.289,0.01,1.079,piano
5.8,0.313,-0.003,1.057,piano
5.82,0.29,-0.043,0.994,piano
5.84,0.259,-0.079,0.946,piano
5.86,0.235,-0.113,0.936,piano
5.88,0.23,-0.129,0.959,piano
5.9,0.247,-0.132,0.99,piano
5.92,0.267,-0.134,1.012,piano
5.94,0.257,-0.13,1.032,piano
5.96,0.235,-0.128,1.026,piano
5.98,0.209,-0.131,1.011,piano
6,0.19,-0.134,1.009,piano
6.02,0.186,-0.135,1.052,piano
6.04,0.192,-0.157,1.138,piano
6.06,0.221,-0.189,1.269,piano
6.08,0.269,-0.188,1.452,piano
6.1,0.284,-0.178,1.467,piano
6.12,0.164,-0.239,1.149,piano
6.14,0.177,-0.251,0.858,piano
6.16,0.329,-0.113,0.961,piano
6.18,0.372,-0.049,1.215,piano
