time,x-acceleration,y-acceleration,z-acceleration,output
3.34,0.254,-0.024,0.284,drum
3.36,0.349,-0.001,0.408,drum
3.38,0.318,0.03,0.485,drum
3.4,0.227,0.002,0.479,drum
3.42,0.193,-0.03,0.399,drum
3.44,0.262,-0.021,0.393,drum
3.46,0.414,0.01,0.446,drum
3.48,0.587,0.005,0.58,drum
3.5,0.748,0.106,0.823,drum
3.52,0.84,0.194,1.071,drum
3.54,1.005,0.171,1.253,drum
3.56,0.763,0.259,1.33,drum
3.58,0.451,0.047,0.643,drum
3.6,0.728,0.793,0.036,drum
3.62,-0.005,0.741,0.395,drum
3.64,1.963,0.603,2,drum
3.66,0.589,0.344,1.304,drum
3.68,-0.367,-0.186,0.124,drum
3.7,0.46,0.163,0.263,drum
3.72,0.65,0.132,0.403,drum
3.74,0.644,0.167,0.505,drum
3.76,0.675,0.227,0.744,drum
3.78,0.521,0.293,0.872,drum
3.8,0.525,0.279,0.794,drum
3.82,0.633,0.28,0.706,drum
3.84,0.692,0.324,0.69,drum
3.86,0.704,0.355,0.717,drum
3.88,0.677,0.34,0.725,drum
3.9,0.679,0.306,0.717,drum
3.92,0.688,0.299,0.716,drum
3.94,0.713,0.31,0.722,drum
3.96,0.707,0.315,0.716,drum
3.98,0.69,0.309,0.718,drum
4,0.694,0.31,0.721,drum
4.02,0.703,0.317,0.7,drum
4.04,0.711,0.333,0.687,drum
4.06,0.703,0.325,0.683,drum
4.08,0.686,0.315,0.676,drum
4.1,0.691,0.308,0.669,drum
4.12,0.723,0.317,0.669,drum
4.14,0.731,0.323,0.666,drum
4.16,0.697,0.318,0.658,drum
4.18,0.669,0.321,0.658,drum
4.2,0.665,0.33,0.653,drum
4.22,0.675,0.336,0.644,drum
4.24,0.673,0.336,0.641,drum
4.26,0.664,0.326,0.637,drum
4.28,0.657,0.321,0.639,drum
4.3,0.649,0.323,0.647,drum
4.32,0.648,0.327,0.656,drum
4.34,0.65,0.333,0.66,drum
4.36,0.653,0.334,0.66,drum
4.38,0.663,0.339,0.663,drum
4.4,0.67,0.34,0.662,drum
4.42,0.668,0.336,0.66,drum
4.44,0.697,0.332,0.664,drum
4.46,0.7,0.328,0.672,drum
4.48,0.699,0.327,0.674,drum
4.5,0.695,0.326,0.679,drum
4.52,0.704,0.334,0.679,drum
4.54,0.687,0.327,0.661,drum
4.56,0.695,0.327,0.661,drum
4.58,0.752,0.328,0.682,drum
4.6,0.712,0.315,0.653,drum
4.62,0.689,0.304,0.66,drum
4.64,0.676,0.299,0.664,drum
4.66,0.683,0.297,0.667,drum
4.68,0.694,0.295,0.676,drum
4.7,0.693,0.297,0.672,drum
4.72,0.703,0.298,0.674,drum
4.74,0.691,0.301,0.666,drum
4.76,0.695,0.284,0.641,drum
4.78,0.704,0.271,0.648,drum
4.8,0.72,0.238,0.652,drum
4.82,0.736,0.192,0.659,drum
4.84,0.747,0.149,0.685,drum
4.86,0.766,0.115,0.724,drum
4.88,0.796,0.086,0.783,drum
4.9,0.796,0.091,0.809,drum
4.92,0.732,0.097,0.718,drum
4.94,0.674,0.135,0.633,drum
4.96,0.586,0.224,0.519,drum
4.98,0.849,0.298,0.441,drum
5,0.99,0.385,0.674,drum
5.02,0.724,0.391,1.037,drum
5.04,0.75,0.409,1.157,drum
5.06,0.751,0.308,0.983,drum
5.08,0.659,0.196,0.869,drum
5.1,0.789,0.149,0.965,drum
5.12,0.748,0.172,0.98,drum
5.14,0.505,0.056,0.797,drum
5.16,0.461,-0.001,0.564,drum
5.18,0.406,-0.072,0.4,drum
5.2,0.409,-0.115,0.361,drum
5.22,0.484,-0.096,0.424,drum
5.24,0.409,-0.142,0.372,drum
5.26,0.324,-0.159,0.272,drum
5.28,0.386,-0.106,0.283,drum
5.3,0.48,-0.032,0.489,drum
5.32,0.494,0.019,0.704,drum
5.34,0.734,0.043,0.85,drum
5.36,0.977,0.112,1.026,drum
5.38,0.647,0.097,1.258,drum
5.4,0.069,-0.185,0.891,drum
5.42,0.308,0.354,0.191,drum
5.44,0.069,0.654,-0.568,drum
5.46,1.682,1.093,1.711,drum
5.48,0.984,0.472,1.769,drum
5.5,-0.565,-0.32,0.445,drum
5.52,0.619,0.204,0.226,drum
5.54,0.954,0.221,0.264,drum
5.56,0.869,0.239,0.452,drum
5.58,0.685,0.244,0.669,drum
5.6,0.446,0.275,0.793,drum
5.62,0.541,0.283,0.721,drum
5.64,0.804,0.306,0.657,drum
5.66,0.8,0.331,0.648,drum
5.68,0.741,0.361,0.668,drum
5.7,0.699,0.354,0.657,drum
5.72,0.704,0.338,0.64,drum
5.74,0.711,0.333,0.636,drum
5.76,0.69,0.333,0.629,drum
5.78,0.667,0.325,0.617,drum
5.8,0.672,0.325,0.606,drum
5.82,0.687,0.34,0.616,drum
5.84,0.69,0.339,0.641,drum
5.86,0.7,0.337,0.655,drum
5.88,0.723,0.344,0.661,drum
5.9,0.736,0.357,0.656,drum
5.92,0.731,0.365,0.646,drum
5.94,0.724,0.362,0.644,drum
5.96,0.723,0.36,0.639,drum
5.98,0.717,0.356,0.633,drum
6,0.701,0.353,0.633,drum
6.02,0.681,0.348,0.629,drum
6.04,0.673,0.344,0.615,drum
6.06,0.682,0.341,0.607,drum
6.08,0.682,0.345,0.607,drum
6.1,0.688,0.348,0.613,drum
6.12,0.694,0.352,0.616,drum
6.14,0.698,0.36,0.625,drum
6.16,0.698,0.366,0.627,drum
6.18,0.7,0.369,0.628,drum
6.2,0.697,0.371,0.624,drum
6.22,0.701,0.375,0.627,drum
6.24,0.704,0.372,0.631,drum
6.26,0.702,0.368,0.628,drum
6.28,0.678,0.362,0.624,drum
6.3,0.66,0.36,0.61,drum
6.32,0.681,0.366,0.609,drum
6.34,0.713,0.37,0.616,drum
6.36,0.739,0.375,0.628,drum
6.38,0.755,0.367,0.635,drum
6.4,0.764,0.353,0.641,drum
6.42,0.737,0.327,0.638,drum
6.44,0.731,0.305,0.632,drum
6.46,0.745,0.299,0.623,drum
6.48,0.742,0.296,0.631,drum
6.5,0.726,0.3,0.639,drum
6.52,0.718,0.312,0.641,drum
6.54,0.716,0.324,0.632,drum
6.56,0.712,0.33,0.619,drum
6.58,0.701,0.329,0.611,drum
6.6,0.693,0.327,0.614,drum
6.62,0.69,0.313,0.618,drum
6.64,0.698,0.305,0.613,drum
6.66,0.697,0.292,0.623,drum
6.68,0.704,0.266,0.641,drum
6.7,0.707,0.232,0.668,drum
6.72,0.73,0.185,0.696,drum
6.74,0.748,0.14,0.745,drum
6.76,0.767,0.105,0.883,drum
6.78,0.786,-0.015,0.953,drum
6.8,0.79,0.016,0.845,drum
6.82,0.798,0.254,0.752,drum
6.84,0.816,0.393,0.857,drum
6.86,0.815,0.325,0.832,drum
6.88,0.619,0.305,0.658,drum
6.9,0.796,0.266,0.751,drum
6.92,0.96,0.237,0.884,drum
6.94,1.042,0.236,0.965,drum
6.96,0.878,0.166,0.955,drum
6.98,0.739,0.14,0.837,drum
7,0.641,0.102,0.708,drum
7.02,0.49,0.008,0.554,drum
7.04,0.441,-0.034,0.446,drum
7.06,0.431,-0.074,0.398,drum
7.08,0.409,-0.086,0.402,drum
7.1,0.368,-0.095,0.435,drum
7.12,0.371,-0.127,0.479,drum
7.14,0.415,-0.141,0.481,drum
7.16,0.462,-0.137,0.437,drum
7.18,0.507,-0.169,0.394,drum
7.2,0.439,-0.15,0.397,drum
7.22,0.403,-0.088,0.51,drum
7.24,0.52,0.002,0.692,drum
7.26,0.824,0.094,0.822,drum
7.28,0.938,0.161,1.169,drum
7.3,0.65,0.071,1.018,drum
7.32,0.429,0.128,0.281,drum
7.34,0.905,0.863,0.391,drum
7.36,-1.25,-0.083,-0.147,drum
7.38,1.485,1.079,2,drum
7.4,1.189,0.173,1.241,drum
7.42,0.383,-0.178,0.304,drum
7.44,0.713,0.262,0.591,drum
7.46,0.413,0.112,0.508,drum
7.48,0.572,0.186,0.542,drum
7.5,0.744,0.193,0.621,drum
7.52,0.784,0.25,0.681,drum
7.54,0.775,0.281,0.674,drum
7.56,0.734,0.273,0.645,drum
7.58,0.722,0.294,0.639,drum
7.6,0.726,0.318,0.638,drum
7.62,0.738,0.314,0.628,drum
7.64,0.726,0.3,0.622,drum
7.66,0.687,0.289,0.629,drum
7.68,0.659,0.295,0.64,drum
7.7,0.674,0.306,0.644,drum
7.72,0.701,0.321,0.638,drum
7.74,0.727,0.331,0.635,drum
7.76,0.734,0.33,0.647,drum
7.78,0.73,0.325,0.659,drum
