time,x-acceleration,y-acceleration,z-acceleration,output
3.34,0.681,0.325,0.701,drum
3.36,0.657,0.328,0.693,drum
3.38,0.662,0.316,0.695,drum
3.4,0.691,0.322,0.704,drum
3.42,0.688,0.315,0.698,drum
3.44,0.683,0.307,0.693,drum
3.46,0.675,0.315,0.694,drum
3.48,0.665,0.311,0.684,drum
3.5,0.669,0.3,0.671,drum
3.52,0.668,0.291,0.661,drum
3.54,0.672,0.283,0.66,drum
3.56,0.663,0.285,0.665,drum
3.58,0.642,0.279,0.666,drum
3.6,0.621,0.271,0.655,drum
3.62,0.609,0.263,0.636,drum
3.64,0.629,0.269,0.621,drum
3.66,0.665,0.274,0.632,drum
3.68,0.691,0.289,0.652,drum
3.7,0.707,0.297,0.692,drum
3.72,0.647,0.312,0.699,drum
3.74,0.636,0.284,0.714,drum
3.76,0.667,0.311,0.718,drum
3.78,0.709,0.294,0.701,drum
3.8,0.761,0.283,0.766,drum
3.82,0.732,0.261,0.812,drum
3.84,0.725,0.241,0.78,drum
3.86,0.81,0.236,0.776,drum
3.88,0.678,0.247,0.636,drum
3.9,0.451,0.205,0.597,drum
3.92,0.574,0.22,0.777,drum
3.94,0.711,0.154,0.923,drum
3.96,0.917,0.089,0.964,drum
3.98,0.941,0.107,0.978,drum
4,0.841,0.098,1.002,drum
4.02,0.742,0.116,0.896,drum
4.04,0.555,0.075,0.664,drum
4.06,0.614,0.073,0.53,drum
4.08,0.547,0.081,0.512,drum
4.1,0.534,0.076,0.555,drum
4.12,0.486,0.075,0.541,drum
4.14,0.424,0.075,0.523,drum
4.16,0.428,0.068,0.53,drum
4.18,0.57,0.11,0.573,drum
4.2,0.704,0.159,0.623,drum
4.22,0.82,0.16,0.706,drum
4.24,0.817,0.114,0.834,drum
4.26,0.791,0.105,0.91,drum
4.28,0.593,0.119,0.874,drum
4.3,0.383,0.141,0.905,drum
4.32,0.169,0.215,0.537,drum
4.34,0.811,0.28,0.672,drum
4.36,0.999,0.236,0.641,drum
4.38,-0.653,0.38,-0.132,drum
4.4,1.287,0.275,1.797,drum
4.42,1.435,0.514,1.53,drum
4.44,-0.383,-0.199,0.322,drum
4.46,0.032,0.115,0.222,drum
4.48,-0.341,0.191,0.014,drum
4.5,1.647,0.202,1.2,drum
4.52,1.138,0.486,0.802,drum
4.54,0.366,0.207,0.727,drum
4.56,0.527,0.304,0.934,drum
4.58,0.277,0.207,0.656,drum
4.6,0.818,0.37,0.742,drum
4.62,0.801,0.338,0.769,drum
4.64,0.525,0.258,0.719,drum
4.66,0.53,0.27,0.709,drum
4.68,0.626,0.266,0.746,drum
4.7,0.721,0.275,0.812,drum
4.72,0.635,0.276,0.744,drum
4.74,0.625,0.269,0.657,drum
4.76,0.767,0.253,0.698,drum
4.78,0.661,0.215,0.649,drum
4.8,0.586,0.211,0.63,drum
4.82,0.574,0.186,0.633,drum
4.84,0.662,0.151,0.706,drum
4.86,0.803,0.158,0.803,drum
4.88,0.774,0.084,0.84,drum
4.9,0.812,0.077,0.739,drum
4.92,1.009,0.04,0.798,drum
4.94,0.833,0.019,0.903,drum
4.96,0.657,-0.003,0.864,drum
4.98,0.677,-0.049,0.763,drum
5,0.705,0.001,0.754,drum
5.02,0.661,0.008,0.646,drum
5.04,0.587,-0.026,0.522,drum
5.06,0.45,-0.061,0.431,drum
5.08,0.644,0.013,0.548,drum
5.1,0.522,-0.054,0.506,drum
5.12,0.576,-0.007,0.514,drum
5.14,0.607,-0.032,0.488,drum
5.16,0.766,0.022,0.492,drum
5.18,0.872,0.084,0.599,drum
5.2,0.801,0.059,0.703,drum
5.22,0.689,0.042,0.724,drum
5.24,0.766,0.078,0.734,drum
5.26,0.887,0.132,0.882,drum
5.28,0.847,0.182,0.799,drum
5.3,0.707,0.15,0.509,drum
5.32,0.573,0.109,0.633,drum
5.34,0.503,0.517,0.807,drum
5.36,-0.495,0.377,0.764,drum
5.38,1.645,0.374,1.934,drum
5.4,1.626,0.264,1.384,drum
5.42,0.117,-0.122,0.28,drum
5.44,0.201,0.191,0.294,drum
5.46,-0.48,0.178,0.232,drum
5.48,0.544,0.202,0.751,drum
5.5,1.53,0.388,1.193,drum
5.52,0.631,0.414,0.838,drum
5.54,0.204,0.361,0.627,drum
5.56,0.528,0.24,0.82,drum
5.58,0.698,0.326,0.852,drum
5.6,0.697,0.319,0.798,drum
5.62,0.598,0.3,0.784,drum
5.64,0.487,0.285,0.759,drum
5.66,0.537,0.301,0.735,drum
5.68,0.634,0.298,0.712,drum
5.7,0.661,0.295,0.703,drum
5.72,0.64,0.29,0.68,drum
5.74,0.618,0.261,0.701,drum
5.76,0.614,0.23,0.74,drum
5.78,0.571,0.25,0.671,drum
5.8,0.567,0.235,0.609,drum
5.82,0.579,0.201,0.637,drum
5.84,0.605,0.098,0.673,drum
5.86,0.699,0.054,0.758,drum
5.88,0.657,0.089,0.744,drum
5.9,0.664,0.03,0.746,drum
5.92,0.821,0.011,0.796,drum
5.94,0.986,0.006,0.808,drum
5.96,0.917,-0.02,0.82,drum
5.98,0.777,-0.004,0.78,drum
6,0.767,-0.002,0.749,drum
6.02,0.695,-0.006,0.683,drum
6.04,0.588,-0.033,0.581,drum
6.06,0.643,-0.037,0.54,drum
6.08,0.656,-0.04,0.55,drum
6.1,0.598,-0.045,0.554,drum
6.12,0.587,-0.039,0.534,drum
6.14,0.604,-0.055,0.54,drum
6.16,0.678,-0.057,0.547,drum
6.18,0.81,-0.031,0.572,drum
6.2,0.786,-0.014,0.626,drum
6.22,0.744,-0.007,0.694,drum
6.24,0.752,0.027,0.69,drum
