time,x-acceleration,y-acceleration,z-acceleration,output
3.1,0.632,-0.356,-0.208,guitar
3.12,0.524,-0.355,-0.241,guitar
3.14,0.304,-0.347,-0.292,guitar
3.16,0.148,-0.325,-0.335,guitar
3.18,0.106,-0.251,-0.311,guitar
3.2,0.214,-0.137,-0.252,guitar
3.22,0.357,-0.061,-0.224,guitar
3.24,0.52,-0.005,-0.192,guitar
3.26,0.987,0.02,-0.044,guitar
3.28,1.856,-0.041,-0.001,guitar
3.3,2,-0.204,-0.569,guitar
3.32,1.719,-0.584,-1.113,guitar
3.34,0.395,-0.599,-0.209,guitar
3.36,-0.456,0.568,1.163,guitar
3.38,0.544,0.471,1.488,guitar
3.4,1.336,0.207,0.964,guitar
3.42,1.417,0.132,0.488,guitar
3.44,1.36,0.037,0.293,guitar
3.46,1.179,-0.024,0.221,guitar
3.48,0.939,-0.008,0.235,guitar
3.5,0.75,0.038,0.269,guitar
3.52,0.717,0.091,0.313,guitar
3.54,0.73,0.124,0.357,guitar
3.56,0.767,0.146,0.401,guitar
3.58,0.844,0.157,0.405,guitar
3.6,0.929,0.172,0.389,guitar
3.62,0.967,0.172,0.364,guitar
3.64,0.948,0.155,0.346,guitar
3.66,0.908,0.132,0.33,guitar
3.68,0.888,0.115,0.308,guitar
3.7,0.897,0.106,0.291,guitar
3.72,0.922,0.114,0.336,guitar
3.74,1.008,0.132,0.44,guitar
3.76,1.054,0.13,0.54,guitar
3.78,1.037,0.121,0.621,guitar
3.8,1.012,0.121,0.654,guitar
3.82,1.062,0.125,0.707,guitar
3.84,1.25,0.124,0.679,guitar
3.86,1.426,0.005,0.378,guitar
3.88,1.424,-0.13,0.111,guitar
3.9,1.241,-0.171,-0.113,guitar
3.92,1.074,-0.214,-0.213,guitar
3.94,0.946,-0.254,-0.217,guitar
3.96,0.807,-0.252,-0.236,guitar
3.98,0.684,-0.238,-0.218,guitar
4,0.525,-0.219,-0.192,guitar
4.02,0.396,-0.233,-0.195,guitar
4.04,0.323,-0.256,-0.188,guitar
4.06,0.272,-0.221,-0.19,guitar
4.08,0.263,-0.188,-0.155,guitar
4.1,0.26,-0.148,-0.149,guitar
4.12,0.33,-0.08,-0.183,guitar
4.14,0.451,-0.033,-0.245,guitar
4.16,1.015,0.042,-0.11,guitar
4.18,1.998,-0.02,0.221,guitar
4.2,2,-0.216,-0.531,guitar
4.22,1.079,-0.759,-1.464,guitar
4.24,1.043,-0.504,-0.399,guitar
4.26,0.39,0.087,0.404,guitar
4.28,-0.23,0.436,1.17,guitar
4.3,0.739,0.455,1.304,guitar
4.32,1.216,0.215,0.818,guitar
4.34,1.315,0.143,0.456,guitar
4.36,1.303,0.081,0.352,guitar
4.38,1.091,0.097,0.359,guitar
4.4,0.805,0.118,0.435,guitar
4.42,0.616,0.172,0.536,guitar
4.44,0.625,0.175,0.59,guitar
4.46,0.747,0.188,0.553,guitar
4.48,0.875,0.209,0.463,guitar
4.5,0.944,0.221,0.4,guitar
4.52,0.942,0.216,0.39,guitar
4.54,0.902,0.199,0.41,guitar
4.56,0.854,0.183,0.43,guitar
4.58,0.834,0.175,0.433,guitar
4.6,0.843,0.174,0.451,guitar
4.62,0.845,0.169,0.472,guitar
4.64,0.822,0.165,0.472,guitar
4.66,0.817,0.17,0.488,guitar
4.68,0.901,0.189,0.546,guitar
4.7,1.117,0.241,0.618,guitar
4.72,1.241,0.27,0.637,guitar
4.74,1.284,0.307,0.669,guitar
4.76,1.174,0.356,0.766,guitar
4.78,0.983,0.29,0.783,guitar
4.8,0.836,0.201,0.703,guitar
4.82,0.852,0.063,0.547,guitar
4.84,0.962,-0.052,0.351,guitar
4.86,0.958,-0.153,0.159,guitar
4.88,0.879,-0.273,0.016,guitar
4.9,0.775,-0.335,-0.099,guitar
4.92,0.632,-0.354,-0.187,guitar
4.94,0.64,-0.368,-0.242,guitar
4.96,0.702,-0.315,-0.206,guitar
4.98,0.614,-0.292,-0.163,guitar
5,0.555,-0.278,-0.177,guitar
5.02,0.497,-0.262,-0.185,guitar
5.04,0.371,-0.222,-0.167,guitar
5.06,0.357,-0.191,-0.147,guitar
5.08,0.319,-0.171,-0.2,guitar
5.1,0.328,-0.122,-0.251,guitar
5.12,0.733,-0.065,-0.197,guitar
5.14,1.583,-0.039,-0.051,guitar
5.16,2,-0.088,-0.457,guitar
5.18,1.695,-0.48,-1.246,guitar
5.2,1.119,-0.532,-0.417,guitar
5.22,-0.574,0.036,0.815,guitar
5.24,-1.054,0.201,1.497,guitar
5.26,1.108,0.51,1.318,guitar
5.28,1.534,0.262,0.627,guitar
5.3,1.607,0.089,0.356,guitar
5.32,1.317,0.076,0.3,guitar
5.34,0.909,0.069,0.289,guitar
5.36,0.777,0.118,0.377,guitar
5.38,0.754,0.168,0.484,guitar
5.4,0.754,0.201,0.55,guitar
5.42,0.797,0.2,0.54,guitar
5.44,0.87,0.214,0.488,guitar
5.46,0.915,0.212,0.427,guitar
5.48,0.951,0.207,0.377,guitar
5.5,0.946,0.19,0.351,guitar
5.52,0.914,0.178,0.344,guitar
5.54,0.884,0.175,0.36,guitar
5.56,0.885,0.18,0.403,guitar
5.58,0.922,0.187,0.473,guitar
5.6,1.033,0.19,0.559,guitar
5.62,1.078,0.189,0.605,guitar
5.64,1.137,0.227,0.64,guitar
5.66,1.378,0.324,0.703,guitar
5.68,1.489,0.387,0.785,guitar
5.7,1.329,0.394,0.799,guitar
5.72,1.07,0.346,0.749,guitar
5.74,0.866,0.224,0.664,guitar
5.76,0.679,0.127,0.598,guitar
5.78,0.505,0.005,0.467,guitar
5.8,0.407,-0.164,0.193,guitar
5.82,0.418,-0.323,-0.133,guitar
5.84,0.437,-0.452,-0.339,guitar
5.86,0.575,-0.484,-0.36,guitar
5.88,0.671,-0.351,-0.337,guitar
5.9,0.711,-0.345,-0.31,guitar
5.92,0.621,-0.326,-0.274,guitar
5.94,0.622,-0.289,-0.203,guitar
5.96,0.634,-0.291,-0.127,guitar
5.98,0.529,-0.296,-0.097,guitar
6,0.412,-0.282,-0.155,guitar
6.02,0.393,-0.297,-0.326,guitar
6.04,0.436,-0.296,-0.415,guitar
6.06,0.617,-0.264,-0.335,guitar
6.08,1.099,-0.169,-0.144,guitar
6.1,1.929,0.01,-0.253,guitar
6.12,1.983,-0.277,-1.099,guitar
6.14,1.078,-0.555,-1.168,guitar
6.16,0.552,-0.533,-0.026,guitar
6.18,-0.115,0.752,0.938,guitar
