time,x-acceleration,y-acceleration,z-acceleration,output
2.98,-0.106,0.02,0.979,unknown
3,-0.103,-0.003,0.995,unknown
3.02,-0.101,-0.02,0.999,unknown
3.04,-0.099,-0.013,1.003,unknown
3.06,-0.102,-0.006,0.997,unknown
3.08,-0.102,-0.003,0.993,unknown
3.1,-0.1,-0.004,0.996,unknown
3.12,-0.102,-0.007,0.998,unknown
3.14,-0.101,-0.009,1,unknown
3.16,-0.1,-0.006,0.996,unknown
3.18,-0.101,-0.005,0.996,unknown
3.2,-0.1,-0.008,0.999,unknown
3.22,-0.1,-0.01,0.997,unknown
3.24,-0.1,-0.008,0.996,unknown
3.26,-0.1,-0.006,0.997,unknown
3.28,-0.101,-0.006,0.995,unknown
3.3,-0.101,-0.009,0.997,unknown
3.32,-0.1,-0.008,0.997,unknown
3.34,-0.1,-0.009,0.996,unknown
3.36,-0.102,-0.008,0.996,unknown
3.38,-0.101,-0.008,0.998,unknown
3.4,-0.1,-0.008,0.997,unknown
3.42,-0.101,-0.009,0.998,unknown
3.44,-0.1,-0.01,0.996,unknown
3.46,-0.101,-0.009,0.998,unknown
3.48,-0.101,-0.01,0.996,unknown
3.5,-0.101,-0.01,0.997,unknown
3.52,-0.1,-0.009,0.997,unknown
3.54,-0.099,-0.008,0.998,unknown
3.56,-0.1,-0.009,0.997,unknown
3.58,-0.101,-0.01,0.996,unknown
3.6,-0.1,-0.009,0.997,unknown
3.62,-0.101,-0.01,0.998,unknown
3.64,-0.1,-0.008,0.996,unknown
3.66,-0.101,-0.009,0.997,unknown
3.68,-0.1,-0.01,0.997,unknown
3.7,-0.1,-0.01,0.995,unknown
3.72,-0.1,-0.01,0.997,unknown
3.74,-0.1,-0.01,0.997,unknown
3.76,-0.101,-0.012,0.995,unknown
3.78,-0.099,-0.01,0.997,unknown
3.8,-0.1,-0.01,0.997,unknown
3.82,-0.101,-0.011,0.996,unknown
3.84,-0.1,-0.012,0.997,unknown
3.86,-0.1,-0.01,0.996,unknown
3.88,-0.099,-0.011,0.997,unknown
3.9,-0.1,-0.012,0.999,unknown
3.92,-0.099,-0.012,0.998,unknown
3.94,-0.1,-0.011,0.997,unknown
3.96,-0.1,-0.011,0.996,unknown
3.98,-0.102,-0.011,0.996,unknown
4,-0.098,-0.012,0.997,unknown
4.02,-0.099,-0.011,0.998,unknown
4.04,-0.098,-0.011,0.996,unknown
4.06,-0.099,-0.01,0.997,unknown
4.08,-0.098,-0.011,0.997,unknown
4.1,-0.1,-0.011,0.997,unknown
4.12,-0.1,-0.012,0.995,unknown
4.14,-0.099,-0.012,0.995,unknown
4.16,-0.098,-0.012,0.997,unknown
4.18,-0.098,-0.011,0.997,unknown
4.2,-0.099,-0.012,0.997,unknown
4.22,-0.1,-0.011,0.994,unknown
4.24,-0.099,-0.013,0.998,unknown
4.26,-0.098,-0.012,0.997,unknown
4.28,-0.101,-0.001,0.971,unknown
4.3,-0.134,0.039,0.851,unknown
4.32,-0.091,-0.178,1.055,unknown
4.34,-0.083,0.059,1.056,unknown
4.36,-0.051,0.1,1.29,unknown
4.38,-0.159,0.028,1.165,unknown
4.4,-0.088,0.083,0.894,unknown
4.42,0.018,-0.073,0.919,unknown
4.44,0.01,-0.369,1.054,unknown
4.46,-0.078,-0.185,1.181,unknown
4.48,-0.149,0.355,1.238,unknown
