time,x-acceleration,y-acceleration,z-acceleration,output
43.32,0.533,0.119,0.886,piano
43.34,0.565,0.072,0.778,piano
43.36,0.552,0.028,0.715,piano
43.38,0.497,-0.01,0.669,piano
43.4,0.411,-0.052,0.559,piano
43.42,0.327,-0.095,0.469,piano
43.44,0.251,-0.157,0.386,piano
43.46,0.173,-0.184,0.334,piano
43.48,0.164,-0.192,0.332,piano
43.5,0.189,-0.191,0.317,piano
43.52,0.172,-0.169,0.248,piano
43.54,0.105,-0.157,0.18,piano
43.56,0.131,-0.134,0.19,piano
43.58,0.153,-0.072,0.217,piano
43.6,0.126,-0.007,0.21,piano
43.62,0.186,0.033,0.277,piano
43.64,0.245,0.054,0.423,piano
43.66,0.341,0.041,0.64,piano
43.68,0.762,0.084,1.055,piano
43.7,0.792,0.077,1.174,piano
43.72,0.337,0.215,0.886,piano
43.74,0.329,0.542,1.005,piano
43.76,1.351,0.948,1.85,piano
43.78,1.588,0.588,2,piano
43.8,0.446,-0.016,1.572,piano
43.82,0.429,0.051,0.703,piano
43.84,0.299,0.159,0.439,piano
43.86,0.212,0.235,0.46,piano
43.88,0.442,0.287,0.567,piano
43.9,0.547,0.36,0.726,piano
43.92,0.479,0.386,0.875,piano
43.94,0.39,0.352,0.931,piano
43.96,0.408,0.303,0.916,piano
43.98,0.488,0.269,0.85,piano
44,0.52,0.242,0.794,piano
44.02,0.532,0.249,0.822,piano
44.04,0.476,0.279,0.884,piano
44.06,0.42,0.293,0.932,piano
44.08,0.421,0.284,0.968,piano
44.1,0.412,0.245,0.976,piano
44.12,0.346,0.216,1.001,piano
44.14,0.443,0.225,1.162,piano
44.16,0.554,0.236,1.323,piano
44.18,0.693,0.247,1.404,piano
44.2,0.723,0.217,1.341,piano
44.22,0.716,0.199,1.219,piano
44.24,0.716,0.208,1.137,piano
44.26,0.713,0.17,1.139,piano
44.28,0.659,0.129,1.07,piano
44.3,0.514,0.124,0.881,piano
44.32,0.449,0.088,0.739,piano
44.34,0.462,0.05,0.669,piano
44.36,0.442,0.016,0.628,piano
44.38,0.395,-0.017,0.619,piano
44.4,0.342,-0.056,0.621,piano
44.42,0.301,-0.091,0.604,piano
44.44,0.268,-0.136,0.549,piano
44.46,0.249,-0.169,0.491,piano
44.48,0.253,-0.184,0.474,piano
44.5,0.253,-0.205,0.465,piano
44.52,0.193,-0.229,0.438,piano
44.54,0.153,-0.237,0.387,piano
44.56,0.123,-0.248,0.319,piano
44.58,0.108,-0.244,0.296,piano
44.6,0.145,-0.195,0.337,piano
44.62,0.119,-0.161,0.322,piano
44.64,0.097,-0.103,0.324,piano
44.66,0.181,-0.022,0.446,piano
44.68,0.327,0.056,0.716,piano
44.7,0.437,0.055,0.884,piano
44.72,0.482,0.115,0.977,piano
44.74,0.667,0.491,1.112,piano
44.76,0.913,0.833,1.148,piano
44.78,1.302,0.921,1.657,piano
44.8,1.376,0.484,2,piano
44.82,0.284,0,1.678,piano
44.84,0.347,0.068,0.805,piano
44.86,0.337,0.113,0.554,piano
44.88,0.317,0.175,0.577,piano
