,time,x-acceleration,y-acceleration,z-acceleration,output
150,3.0,0.647,-0.052,0.396,drum
151,3.02,0.688,-0.044,0.385,drum
152,3.04,0.735,-0.009,0.424,drum
153,3.06,0.836,0.028,0.533,drum
154,3.08,0.816,0.019,0.618,drum
155,3.1,0.835,0.041,0.746,drum
156,3.12,1.026,0.023,0.816,drum
157,3.14,1.064,0.065,0.867,drum
158,3.16,0.832,0.052,0.676,drum
159,3.18,1.043,0.173,0.339,drum
160,3.2,1.16,0.574,0.863,drum
161,3.22,0.126,0.066,0.18,drum
162,3.24,0.25,0.504,0.521,drum
163,3.26,2.0,-0.019,1.487,drum
164,3.28,1.155,-0.312,0.963,drum
165,3.3,0.087,0.217,0.388,drum
166,3.32,0.462,0.31,0.369,drum
167,3.34,0.712,0.063,0.336,drum
168,3.36,0.761,0.153,0.351,drum
169,3.38,0.807,0.175,0.474,drum
170,3.4,0.814,0.163,0.566,drum
171,3.42,0.845,0.204,0.616,drum
172,3.44,0.872,0.186,0.629,drum
173,3.46,0.877,0.199,0.591,drum
174,3.48,0.854,0.215,0.533,drum
175,3.5,0.803,0.205,0.505,drum
176,3.52,0.774,0.184,0.518,drum
177,3.54,0.768,0.167,0.54,drum
178,3.56,0.739,0.168,0.544,drum
179,3.58,0.718,0.171,0.534,drum
180,3.6,0.733,0.152,0.559,drum
181,3.62,0.656,0.138,0.509,drum
182,3.64,0.639,0.141,0.365,drum
183,3.66,0.918,0.144,0.434,drum
184,3.68,0.992,0.147,0.64,drum
185,3.7,0.745,0.238,0.741,drum
186,3.72,0.935,0.286,0.835,drum
187,3.74,1.132,0.235,0.857,drum
188,3.76,1.107,0.184,0.836,drum
189,3.78,1.024,0.179,0.848,drum
190,3.8,1.011,0.187,0.832,drum
191,3.82,0.95,0.154,0.735,drum
192,3.84,0.96,0.111,0.629,drum
193,3.86,0.925,0.081,0.534,drum
194,3.88,0.816,0.083,0.461,drum
195,3.9,0.757,0.077,0.464,drum
196,3.92,0.693,0.029,0.444,drum
197,3.94,0.638,0.002,0.382,drum
198,3.96,0.649,-0.035,0.367,drum
199,3.98,0.632,-0.081,0.355,drum
200,4.0,0.621,-0.113,0.339,drum
201,4.02,0.626,-0.128,0.348,drum
202,4.04,0.59,-0.129,0.372,drum
203,4.06,0.55,-0.128,0.396,drum
204,4.08,0.558,-0.114,0.437,drum
205,4.1,0.62,-0.083,0.468,drum
206,4.12,0.649,-0.043,0.481,drum
